Run Title,Alternative,NPV,IRR
T2Run129 Project Analysis,Upgrade,20155068.0,55.380001068115234
T2Run129 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run130 Project Analysis,Upgrade,19481930.0,54.119998931884766
T2Run130 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run131 Project Analysis,Upgrade,20096010.0,55.90999984741211
T2Run131 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run132 Project Analysis,Upgrade,22775404.0,62.209999084472656
T2Run132 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run133 Project Analysis,Upgrade,26130974.0,70.7699966430664
T2Run133 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run134 Project Analysis,Upgrade,58543764.0,139.9499969482422
T2Run134 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run135 Project Analysis,Upgrade,56728504.0,136.49000549316406
T2Run135 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run136 Project Analysis,Upgrade,59695040.0,142.1999969482422
T2Run136 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run137 Project Analysis,Upgrade,58216632.0,142.22999572753906
T2Run137 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run138 Project Analysis,Upgrade,59344720.0,144.8800048828125
T2Run138 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run139 Project Analysis,Upgrade,65646948.0,157.8699951171875
T2Run139 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run140 Project Analysis,Upgrade,72725968.0,175.9499969482422
T2Run140 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run141 Project Analysis,Upgrade,305374400.0,740.7899780273438
T2Run141 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run142 Project Analysis,Upgrade,296224128.0,719.1400146484375
T2Run142 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run143 Project Analysis,Upgrade,311117408.0,754.3800048828125
T2Run143 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run145 Project Analysis,Upgrade,307051904.0,746.75
T2Run145 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run146 Project Analysis,Upgrade,338208512.0,820.97998046875
T2Run146 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run147 Project Analysis,Upgrade,368786080.0,893.9500122070312
T2Run147 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run148 Project Analysis,Upgrade,21379796.0,61.97999954223633
T2Run148 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run150 Project Analysis,Upgrade,21853022.0,62.970001220703125
T2Run150 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run151 Project Analysis,Upgrade,21117216.0,61.5
T2Run151 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run152 Project Analysis,Upgrade,21620694.0,62.70000076293945
T2Run152 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run153 Project Analysis,Upgrade,24133630.0,67.8499984741211
T2Run153 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run154 Project Analysis,Upgrade,27268296.0,75.5999984741211
