Run Title,Alternative,NPV,IRR,AVE_IRI,
T5Run152 Project Analysis,Minimum Maintenance (B),0,-9999.990234,10.13000011,304
T5Run153 Project Analysis,Reconstruction,55870128,42.68000031,2.930000067,305
T5Run153 Project Analysis,Minimum Maintenance (B),0,-9999.990234,10.13000011,306
T5Run154 Project Analysis,Reconstruction,44085240,38.27000046,2.930000067,307
T5Run154 Project Analysis,Minimum Maintenance (B),0,-9999.990234,10.13000011,308
T5Run155 Project Analysis,Reconstruction,550123072,210.7599945,3.029999971,309
T5Run155 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.31999969,310
T5Run156 Project Analysis,Reconstruction,549264896,216.5299988,3.029999971,311
T5Run156 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.31999969,312
T5Run157 Project Analysis,Reconstruction,549571392,212.7299957,3.029999971,313
T5Run157 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.31999969,314
T5Run158 Project Analysis,Reconstruction,536566016,219.7899933,3.029999971,315
T5Run158 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.31999969,316
T5Run159 Project Analysis,Reconstruction,492964640,213.0700073,3.029999971,317
T5Run159 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.31999969,318
T5Run160 Project Analysis,Reconstruction,458243616,199.5,3.029999971,319
T5Run160 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.31999969,320
T5Run161 Project Analysis,Reconstruction,375107296,177.3899994,3.029999971,321
T5Run161 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.32999992,322
T5Run162 Project Analysis,Reconstruction,1426852736,464.2200012,3.140000105,323
T5Run162 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.40999985,324
T5Run163 Project Analysis,Reconstruction,1423581952,481.2099915,3.140000105,325
T5Run163 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.40999985,326
T5Run164 Project Analysis,Reconstruction,1425280384,470.3699951,3.140000105,327
T5Run164 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.40999985,328
T5Run165 Project Analysis,Reconstruction,1390734464,492.75,3.140000105,329
T5Run165 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.40999985,330
T5Run166 Project Analysis,Reconstruction,1279531264,478.7000122,3.140000105,331
T5Run166 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.40999985,332
T5Run167 Project Analysis,Reconstruction,1191067648,446.4400024,3.140000105,333
T5Run167 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.40999985,334
T5Run168 Project Analysis,Reconstruction,980359552,396.6199951,3.140000105,335
T5Run168 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.40999985,336
T5Run169 Project Analysis,Reconstruction,124107392,86.36000061,3.529999971,337
T5Run169 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.82999992,338
T5Run170 Project Analysis,Reconstruction,123924936,87.31999969,3.529999971,339
T5Run170 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.82999992,340
T5Run171 Project Analysis,Reconstruction,123907632,86.48000336,3.529999971,341
T5Run171 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.82999992,342
T5Run172 Project Analysis,Reconstruction,120804480,86.76000214,3.529999971,343
T5Run172 Project Analysis,Minimum Maintenance (B),0,-9999.990234,12.82999992,344
T5Run173 Project Analysis,Reconstruction,110196320,83.22000122,3.529999971,345
