Run,TG,Co,Tv,GE,,NPV,IRR,AVE_IRI,NPV DELTA,IRR DELTA,AVE_IRI DELTA,NPV DELTA,IRR DELTA,AVE_IRI DELTA,NPV DELTA,IRR DELTA,AVE_IRI DELTA,NPV DELTA,IRR DELTA,AVE_IRI DELTA
171,2,3,0,2,,98553208,67.59999847,3.430000067,459320,0.98000336,0,"1,029,364,488",259,0.34,57157836,32,0.55,"13,688,176",4, -   
172,2,3,0,3,,97084736,68.76999664,3.430000067,1468472,1.16999817,0,"1,015,677,504",280,0.34,54384192,32,0.55,"13,399,920",4, -   
173,2,3,0,4,,89186256,66.47000122,3.430000067,7898480,2.29999542,0,"942,029,936",272,0.34,49636156,31,0.55,"12,366,504",4, -   
174,2,3,0,5,,80959760,61.50999832,3.430000067,8226496,4.9600029,0,"877,538,864",264,0.34,45404320,28,0.55,"11,486,296",4, -   
175,2,3,0,6,,64311596,54.06999969,3.430000067,16648164,7.43999863,0,"731,605,140",236,0.34,36674166,24,0.55,"9,486,784",3, -   
176,2,3,1,0,,544158272,281.7399902,3.569999933,,,,"445,600,048",214,0.14,246145664,164,0.62,"65,440,576",16,0
177,2,3,1,1,,543508672,287.4899902,3.569999933,649600,5.75,0,"444,496,144",219,0.14,241256448,165,0.62,"65,069,472",17,0
178,2,3,1,2,,543396544,282.7799988,3.569999933,112128,4.7099914,0,"444,843,336",215,0.14,243818880,162,0.62,"65,266,944",16,0
179,2,3,1,3,,531298880,287.5299988,3.569999933,12097664,4.75,0,"434,214,144",219,0.14,230044512,159,0.62,"63,428,032",17,0
180,2,3,1,4,,489633280,277.5,3.569999933,41665600,10.0299988,0,"400,447,024",211,0.14,207835904,153,0.62,"58,050,560",16,0
181,2,3,1,5,,452760736,251.6999969,3.569999933,36872544,25.8000031,0,"371,800,976",190,0.14,192116336,132,0.62,"54,119,840",14,0
182,2,3,1,6,,370770144,217.8099976,3.569999933,81990592,33.8899993,0,"306,458,548",164,0.14,153799072,110,0.62,"44,500,064",13,0
183,2,3,2,0,,1639195264,-9999.990234,3.819999933,,,,"1,095,036,992","10,282",0.25,512404480,10318,0.73,"179,332,352", -   ,0
184,2,3,2,1,,1630996992,-9999.990234,3.819999933,8198272,0,0,"1,087,488,320","10,287",0.25,500185472,10334,0.73,"177,816,832", -   ,0
185,2,3,2,2,,1635720576,-9999.990234,3.819999933,4723584,0,0,"1,092,324,032","10,283",0.25,507802880,10326,0.73,"178,894,080", -   ,0
186,2,3,2,3,,1588363392,-9999.990234,3.829999924,47357184,0,0.009999991,"1,057,064,512","10,288",0.26,475601152,10349,0.74,"172,939,520", -   ,0
187,2,3,2,4,,1455600768,-9999.990234,3.829999924,132762624,0,0,"965,967,488","10,277",0.26,424384576,10338,0.74,"157,807,360","10,867",0
188,2,3,2,5,,1356557184,836.6099854,3.829999924,99043584,10836.60022,0,"903,796,448",585,0.26,398058560,512,0.74,"147,604,224",51,0
189,2,3,2,6,,1110798848,701.5200195,3.829999924,245758336,135.0899659,0,"740,028,704",484,0.26,314882112,411,0.74,"121,128,832",43,0
190,2,4,0,0,,138079264,108.0899963,3.960000038,,,,"1,501,116,000","10,108",0.14,39521040,41,0.53,"16,563,688",6, -   
191,2,4,0,1,,137525792,108.6299973,3.960000038,553472,0.540001,0,"1,493,471,200","10,109",0.14,38513264,40,0.53,"16,470,632",6, -   
192,2,4,0,2,,137780800,108.0400009,3.960000038,255008,0.5899964,0,"1,497,939,776","10,108",0.14,39227592,40,0.53,"16,523,184",6, -   
193,2,4,0,3,,133787984,107.1900024,3.960000038,3992816,0.8499985,0,"1,454,575,408","10,107",0.13,36703248,38,0.53,"16,042,496",6, -   
194,2,4,0,4,,121580232,101.4800034,3.960000038,12207752,5.709999,0,"1,334,020,536","10,101",0.13,32393976,35,0.53,"14,683,904",6, -   
195,2,4,0,5,,111906368,93.62000275,3.960000038,9673864,7.86000065,0,"1,244,650,816",743,0.13,30946608,32,0.53,"13,715,280",5, -   
196,2,4,0,6,,88705680,79.26999664,3.960000038,23200688,14.35000611,0,"1,022,093,168",622,0.13,24394084,25,0.53,"11,248,640",5, -   
